,Stat_checking_acc,Duration_months,Credit_history,Purpose,Credit_amount,Savings_bonds,Duration_of_employment,Installment_pct_annual_income,Marital_status__and_sex,Other_debtors,Resident_since,Property,Age,Other_plans,Housing,Num_existing_credits,Job,num_liable,Has_phone,Foreign_Worker,Class
0,-82.0,6,critical,radio_tv,1169,0.0,11.0,4,male,none,4,real_estate,67,none,rent,2,skilled,1,1,1,1
1,84.0,48,paid_back_duly,radio_tv,5951,55.0,1.0,2,fem,none,2,real_estate,22,none,rent,1,skilled,1,0,1,2
2,0.0,12,critical,education,2096,37.0,5.0,2,male,none,3,real_estate,49,none,rent,1,unskilled,2,0,1,1
3,-92.0,42,paid_back_duly,furniture_equipment,7882,73.0,5.0,2,male,guarantor,4,life_insurance,45,none,own/free,1,skilled,2,0,1,1
4,-93.0,24,delayed_pay,car_new,4870,19.0,2.0,3,male,none,4,unknown_or_none,53,none,own/free,2,skilled,2,0,1,2
5,0.0,36,paid_back_duly,education,9055,0.0,2.0,2,male,none,4,unknown_or_none,35,none,own/free,1,unskilled,2,1,1,1
6,0.0,24,paid_back_duly,furniture_equipment,2835,837.0,10.0,3,male,none,4,life_insurance,53,none,rent,1,skilled,1,0,1,1
7,87.0,36,paid_back_duly,car_used,6948,54.0,1.0,2,male,none,2,car_or_other,35,none,own/free,1,skilled,1,1,1,1
8,0.0,12,paid_back_duly,radio_tv,3059,3499.0,5.0,2,male,none,4,real_estate,61,none,rent,1,unskilled,1,0,1,1
9,126.0,30,critical,car_new,5234,76.0,0.0,4,male,none,2,car_or_other,28,none,rent,2,skilled,1,0,1,2
10,55.0,12,paid_back_duly,car_new,1295,54.0,0.0,3,fem,none,1,car_or_other,25,none,own/free,1,skilled,1,0,1,2
11,-89.0,48,paid_back_duly,business,4308,55.0,0.0,3,fem,none,4,life_insurance,24,none,own/free,1,skilled,1,0,1,2
12,75.0,12,paid_back_duly,radio_tv,1567,52.0,1.0,1,fem,none,1,car_or_other,22,none,rent,1,skilled,1,1,1,1
13,-117.0,24,critical,car_new,1199,46.0,10.0,4,male,none,4,car_or_other,60,none,rent,2,unskilled,1,0,1,2
14,-87.0,15,paid_back_duly,car_new,1403,56.0,1.0,2,fem,none,4,car_or_other,28,none,own/free,1,skilled,1,0,1,1
15,-91.0,24,paid_back_duly,radio_tv,1282,188.0,1.0,4,fem,none,2,car_or_other,32,none,rent,1,unskilled,1,0,1,2
16,0.0,24,critical,radio_tv,2424,0.0,12.0,4,male,none,4,life_insurance,53,none,rent,2,skilled,1,0,1,1
17,-104.0,30,paid_back_duly,business,8072,0.0,0.0,2,male,none,3,car_or_other,25,bank,rent,3,skilled,1,0,1,1
18,105.0,24,paid_back_duly,car_used,12579,36.0,14.0,4,fem,none,2,unknown_or_none,44,none,own/free,1,skilled,1,1,1,2
19,0.0,24,paid_back_duly,radio_tv,3430,603.0,8.0,3,male,none,2,car_or_other,31,none,rent,1,skilled,2,1,1,1
20,1.0,9,critical,car_new,2134,45.0,1.0,4,male,none,4,car_or_other,48,none,rent,3,skilled,1,1,1,1
21,-104.0,6,paid_back_duly,radio_tv,2647,665.0,2.0,2,male,none,3,real_estate,44,none,own/free,1,skilled,2,0,1,1
22,-99.0,10,critical,car_new,2241,44.0,0.0,1,male,none,3,real_estate,48,none,own/free,2,unskilled,2,0,0,1
23,69.0,12,critical,car_used,1804,359.0,0.0,3,male,none,4,life_insurance,44,none,rent,1,skilled,1,0,1,1
24,0.0,10,critical,furniture_equipment,2069,0.0,1.0,2,male,none,1,car_or_other,26,none,rent,2,skilled,1,0,0,1
25,-110.0,6,paid_back_duly,furniture_equipment,1374,38.0,3.0,1,male,none,2,real_estate,36,bank,rent,1,unskilled,1,1,1,1
26,0.0,6,paid_back_duly,radio_tv,426,56.0,8.0,4,male,none,4,car_or_other,39,none,rent,1,unskilled,1,0,1,1
27,331.0,12,paid_back_duly,radio_tv,409,5729.0,1.0,3,fem,none,3,real_estate,42,none,own/free,2,skilled,1,0,1,1
28,95.0,7,paid_back_duly,radio_tv,2415,65.0,1.0,3,male,guarantor,2,real_estate,34,none,rent,1,skilled,1,0,1,1
29,-103.0,60,delayed_pay,business,6836,38.0,13.0,3,male,none,4,unknown_or_none,63,none,rent,2,skilled,1,1,1,2
30,141.0,18,paid_back_duly,business,1913,6080.0,0.0,3,male,none,3,real_estate,36,bank,rent,1,skilled,1,1,1,1
31,-102.0,24,paid_back_duly,furniture_equipment,4020,51.0,1.0,2,male,none,2,car_or_other,27,stores,rent,1,skilled,1,0,1,1
32,95.0,18,paid_back_duly,car_new,5866,181.0,1.0,2,male,none,2,car_or_other,30,none,rent,2,skilled,1,1,1,1
33,0.0,12,critical,business,1264,0.0,11.0,4,male,none,4,unknown_or_none,57,none,own/free,1,unskilled,1,0,1,1
34,228.0,12,paid_back_duly,furniture_equipment,1474,52.0,0.0,4,fem,none,1,life_insurance,33,bank,rent,1,skilled,1,1,1,1
35,100.0,45,critical,radio_tv,4746,68.0,0.0,4,male,none,2,life_insurance,25,none,rent,2,unskilled,1,0,1,2
36,1.0,48,critical,education,6110,43.0,1.0,1,male,none,3,unknown_or_none,31,bank,own/free,1,skilled,1,1,1,1
37,342.0,18,paid_back_duly,radio_tv,2100,52.0,1.0,4,male,co-app,2,real_estate,37,stores,rent,1,skilled,1,0,1,2
38,326.0,10,paid_back_duly,domestic_appliances,1225,48.0,3.0,2,male,none,2,car_or_other,37,none,rent,1,skilled,1,1,1,1
39,63.0,9,paid_back_duly,radio_tv,458,61.0,2.0,4,male,none,3,real_estate,24,none,rent,1,skilled,1,0,1,1
40,0.0,30,paid_back_duly,radio_tv,2333,781.0,13.0,4,male,none,2,car_or_other,30,bank,rent,1,skilled,1,0,1,1
41,76.0,12,paid_back_duly,radio_tv,1158,725.0,1.0,3,male,none,1,car_or_other,26,none,rent,1,skilled,1,1,1,1
42,110.0,18,delayed_pay,repairs,6204,49.0,1.0,2,male,none,4,real_estate,44,none,rent,1,unskilled,2,1,1,1
43,-89.0,30,critical,car_used,6187,206.0,5.0,1,male,none,4,car_or_other,24,none,own/free,2,skilled,1,0,1,1
44,-111.0,48,critical,car_used,6143,65.0,11.0,4,fem,none,4,unknown_or_none,58,stores,own/free,2,unskilled,1,0,1,2
45,0.0,11,critical,car_new,1393,59.0,0.0,4,fem,none,4,car_or_other,35,none,rent,2,skilled,1,0,1,1
46,0.0,36,paid_back_duly,radio_tv,2299,900.0,12.0,4,male,none,4,car_or_other,39,none,rent,1,skilled,1,0,1,1
47,-105.0,6,paid_back_duly,car_used,1352,818.0,0.0,1,fem,none,2,life_insurance,23,none,own/free,1,unskilled,1,1,1,1
48,0.0,11,critical,car_new,7228,53.0,2.0,1,male,none,4,life_insurance,39,none,rent,2,unskilled,1,0,1,1
49,0.0,12,paid_back_duly,radio_tv,2073,410.0,1.0,4,fem,co-app,2,real_estate,28,none,rent,1,skilled,1,0,1,1
50,129.0,24,delayed_pay,furniture_equipment,2333,0.0,0.0,4,male,none,2,life_insurance,29,bank,rent,1,unskilled,1,0,1,1
51,82.0,27,delayed_pay,car_used,5965,66.0,14.0,1,male,none,2,car_or_other,30,none,rent,2,skilled,1,1,1,1
52,0.0,12,paid_back_duly,radio_tv,1262,40.0,2.0,3,male,none,2,car_or_other,25,none,rent,1,skilled,1,0,1,1
53,0.0,18,paid_back_duly,car_used,3378,0.0,2.0,2,male,none,1,life_insurance,31,none,rent,1,skilled,1,1,1,1
54,94.0,36,delayed_pay,car_new,2225,48.0,9.0,4,male,none,4,unknown_or_none,57,bank,own/free,2,skilled,1,1,1,2
55,0.0,6,paid_back_duly,car_new,783,0.0,1.0,1,male,guarantor,2,real_estate,26,stores,rent,1,unskilled,2,0,1,1
56,143.0,12,paid_back_duly,radio_tv,6468,0.0,0.0,2,male,none,1,unknown_or_none,52,none,rent,1,skilled,1,1,1,2
57,0.0,36,critical,radio_tv,9566,47.0,4.0,2,fem,none,2,car_or_other,31,stores,rent,2,skilled,1,0,1,1
58,592.0,18,paid_back_duly,car_new,1961,27.0,8.0,3,fem,none,2,car_or_other,23,none,rent,1,skilled,1,0,1,1
59,-103.0,36,critical,furniture_equipment,6229,35.0,0.0,4,fem,co-app,4,unknown_or_none,23,none,own/free,2,unskilled,1,1,1,2
60,139.0,9,paid_back_duly,business,1391,18.0,2.0,2,male,none,1,real_estate,27,bank,rent,1,skilled,1,1,1,1
61,98.0,15,critical,radio_tv,1537,0.0,14.0,4,male,guarantor,4,real_estate,50,none,rent,2,skilled,1,1,1,1
62,111.0,36,paid_back_duly,business,1953,34.0,14.0,4,male,none,4,unknown_or_none,61,none,own/free,1,skilled,1,1,1,2
63,102.0,48,paid_back_duly,business,14421,40.0,1.0,2,male,none,2,car_or_other,25,none,rent,1,skilled,1,1,1,2
64,0.0,24,paid_back_duly,radio_tv,3181,48.0,0.0,4,fem,none,4,life_insurance,26,none,rent,1,skilled,1,1,1,1
65,0.0,27,paid_back_duly,repairs,5190,0.0,13.0,4,male,none,4,life_insurance,48,none,rent,4,skilled,2,1,1,1
66,0.0,12,paid_back_duly,radio_tv,2171,63.0,0.0,2,fem,none,2,car_or_other,29,bank,rent,1,skilled,1,0,1,1
