Unnamed: 0,Stat_checking_acc,Duration_months,Credit_history,Purpose,Credit_amount,Savings_bonds,Duration_of_employment,Installment_pct_annual_income,Marital_status__and_sex,Other_debtors,Resident_since,Property,Age,Other_plans,Housing,Num_existing_credits,Job,num_liable,Has_phone,Foreign_Worker,Class,dem_cluster,Class_cat
0,-82,6,critical,radio_tv,1169,0,11,4,male,none,4,real_estate,67,none,rent,2,skilled,1,1,1,1,C,Good
1,84,48,paid_back_duly,radio_tv,5951,55,1,2,fem,none,2,real_estate,22,none,rent,1,skilled,1,0,1,2,B,Bad
2,0,12,critical,education,2096,37,5,2,male,none,3,real_estate,49,none,rent,1,unskilled,2,0,1,1,C,Good
3,-92,42,paid_back_duly,furniture_equipment,7882,73,5,2,male,guarantor,4,life_insurance,45,none,own/free,1,skilled,2,0,1,1,C,Good
4,-93,24,delayed_pay,car_new,4870,19,2,3,male,none,4,unknown_or_none,53,none,own/free,2,skilled,2,0,1,2,C,Bad
5,0,36,paid_back_duly,education,9055,0,2,2,male,none,4,unknown_or_none,35,none,own/free,1,unskilled,2,1,1,1,B,Good
6,0,24,paid_back_duly,furniture_equipment,2835,837,10,3,male,none,4,life_insurance,53,none,rent,1,skilled,1,0,1,1,C,Good
7,87,36,paid_back_duly,car_used,6948,54,1,2,male,none,2,car_or_other,35,none,own/free,1,skilled,1,1,1,1,B,Good
8,0,12,paid_back_duly,radio_tv,3059,3499,5,2,male,none,4,real_estate,61,none,rent,1,unskilled,1,0,1,1,D,Good
9,126,30,critical,car_new,5234,76,0,4,male,none,2,car_or_other,28,none,rent,2,skilled,1,0,1,2,B,Bad
10,55,12,paid_back_duly,car_new,1295,54,0,3,fem,none,1,car_or_other,25,none,own/free,1,skilled,1,0,1,2,B,Bad
11,-89,48,paid_back_duly,business,4308,55,0,3,fem,none,4,life_insurance,24,none,own/free,1,skilled,1,0,1,2,B,Bad
12,75,12,paid_back_duly,radio_tv,1567,52,1,1,fem,none,1,car_or_other,22,none,rent,1,skilled,1,1,1,1,B,Good
13,-117,24,critical,car_new,1199,46,10,4,male,none,4,car_or_other,60,none,rent,2,unskilled,1,0,1,2,C,Bad
14,-87,15,paid_back_duly,car_new,1403,56,1,2,fem,none,4,car_or_other,28,none,own/free,1,skilled,1,0,1,1,B,Good
15,-91,24,paid_back_duly,radio_tv,1282,188,1,4,fem,none,2,car_or_other,32,none,rent,1,unskilled,1,0,1,2,B,Bad
16,0,24,critical,radio_tv,2424,0,12,4,male,none,4,life_insurance,53,none,rent,2,skilled,1,0,1,1,C,Good
17,-104,30,paid_back_duly,business,8072,0,0,2,male,none,3,car_or_other,25,bank,rent,3,skilled,1,0,1,1,B,Good
18,105,24,paid_back_duly,car_used,12579,36,14,4,fem,none,2,unknown_or_none,44,none,own/free,1,skilled,1,1,1,2,C,Bad
19,0,24,paid_back_duly,radio_tv,3430,603,8,3,male,none,2,car_or_other,31,none,rent,1,skilled,2,1,1,1,B,Good
20,1,9,critical,car_new,2134,45,1,4,male,none,4,car_or_other,48,none,rent,3,skilled,1,1,1,1,B,Good
21,-104,6,paid_back_duly,radio_tv,2647,665,2,2,male,none,3,real_estate,44,none,own/free,1,skilled,2,0,1,1,B,Good
22,-99,10,critical,car_new,2241,44,0,1,male,none,3,real_estate,48,none,own/free,2,unskilled,2,0,0,1,B,Good
23,69,12,critical,car_used,1804,359,0,3,male,none,4,life_insurance,44,none,rent,1,skilled,1,0,1,1,B,Good
24,0,10,critical,furniture_equipment,2069,0,1,2,male,none,1,car_or_other,26,none,rent,2,skilled,1,0,0,1,B,Good
25,-110,6,paid_back_duly,furniture_equipment,1374,38,3,1,male,none,2,real_estate,36,bank,rent,1,unskilled,1,1,1,1,B,Good
26,0,6,paid_back_duly,radio_tv,426,56,8,4,male,none,4,car_or_other,39,none,rent,1,unskilled,1,0,1,1,C,Good
27,331,12,paid_back_duly,radio_tv,409,5729,1,3,fem,none,3,real_estate,42,none,own/free,2,skilled,1,0,1,1,D,Good
28,95,7,paid_back_duly,radio_tv,2415,65,1,3,male,guarantor,2,real_estate,34,none,rent,1,skilled,1,0,1,1,B,Good
29,-103,60,delayed_pay,business,6836,38,13,3,male,none,4,unknown_or_none,63,none,rent,2,skilled,1,1,1,2,C,Bad
30,141,18,paid_back_duly,business,1913,6080,0,3,male,none,3,real_estate,36,bank,rent,1,skilled,1,1,1,1,D,Good
31,-102,24,paid_back_duly,furniture_equipment,4020,51,1,2,male,none,2,car_or_other,27,stores,rent,1,skilled,1,0,1,1,B,Good
32,95,18,paid_back_duly,car_new,5866,181,1,2,male,none,2,car_or_other,30,none,rent,2,skilled,1,1,1,1,B,Good
33,0,12,critical,business,1264,0,11,4,male,none,4,unknown_or_none,57,none,own/free,1,unskilled,1,0,1,1,C,Good
34,228,12,paid_back_duly,furniture_equipment,1474,52,0,4,fem,none,1,life_insurance,33,bank,rent,1,skilled,1,1,1,1,B,Good
35,100,45,critical,radio_tv,4746,68,0,4,male,none,2,life_insurance,25,none,rent,2,unskilled,1,0,1,2,B,Bad
36,1,48,critical,education,6110,43,1,1,male,none,3,unknown_or_none,31,bank,own/free,1,skilled,1,1,1,1,B,Good
37,342,18,paid_back_duly,radio_tv,2100,52,1,4,male,co-app,2,real_estate,37,stores,rent,1,skilled,1,0,1,2,A,Bad
38,326,10,paid_back_duly,domestic_appliances,1225,48,3,2,male,none,2,car_or_other,37,none,rent,1,skilled,1,1,1,1,A,Good
39,63,9,paid_back_duly,radio_tv,458,61,2,4,male,none,3,real_estate,24,none,rent,1,skilled,1,0,1,1,B,Good
40,0,30,paid_back_duly,radio_tv,2333,781,13,4,male,none,2,car_or_other,30,bank,rent,1,skilled,1,0,1,1,C,Good
41,76,12,paid_back_duly,radio_tv,1158,725,1,3,male,none,1,car_or_other,26,none,rent,1,skilled,1,1,1,1,B,Good
42,110,18,delayed_pay,repairs,6204,49,1,2,male,none,4,real_estate,44,none,rent,1,unskilled,2,1,1,1,B,Good
43,-89,30,critical,car_used,6187,206,5,1,male,none,4,car_or_other,24,none,own/free,2,skilled,1,0,1,1,B,Good
44,-111,48,critical,car_used,6143,65,11,4,fem,none,4,unknown_or_none,58,stores,own/free,2,unskilled,1,0,1,2,C,Bad
45,0,11,critical,car_new,1393,59,0,4,fem,none,4,car_or_other,35,none,rent,2,skilled,1,0,1,1,B,Good
46,0,36,paid_back_duly,radio_tv,2299,900,12,4,male,none,4,car_or_other,39,none,rent,1,skilled,1,0,1,1,C,Good
47,-105,6,paid_back_duly,car_used,1352,818,0,1,fem,none,2,life_insurance,23,none,own/free,1,unskilled,1,1,1,1,B,Good
48,0,11,critical,car_new,7228,53,2,1,male,none,4,life_insurance,39,none,rent,2,unskilled,1,0,1,1,B,Good
49,0,12,paid_back_duly,radio_tv,2073,410,1,4,fem,co-app,2,real_estate,28,none,rent,1,skilled,1,0,1,1,B,Good
